Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.139000e-03,0.02375,-0.0523438,0.221875,-0.00097625
-1.138000e-03,0.0284375,-0.0414063,0.167188,-0.000961563
-1.137000e-03,-0.0065625,0.009375,0.167188,-0.00102625
-1.136000e-03,0.02375,-0.090625,0.09375,-0.00088125
-1.135000e-03,0.0034375,-0.065625,0.267188,-0.000861563
-1.134000e-03,0.00375,-0.0539062,0.192187,-0.00049625
-1.133000e-03,0.033125,0.00859375,0.192187,-0.000771875
-1.132000e-03,0.02875,-0.0789063,0.26875,-0.000861563
-1.131000e-03,0.014375,-0.0390625,0.171875,-0.000960625
-1.130000e-03,0.038125,-0.078125,0.06875,-0.000845938
-1.129000e-03,-0.00125,-0.0796875,0.167188,-0.00099625
-1.128000e-03,0.0034375,-0.0164063,0.14375,-0.000761563
-1.127000e-03,0.0090625,-0.0289063,0.11875,-0.00099125
-1.126000e-03,0.01375,-0.003125,0.19375,-0.00097125
-1.125000e-03,0.0040625,0.009375,0.142188,-0.00099125
-1.124000e-03,0.01875,-0.003125,0.217187,-0.00102125
-1.123000e-03,0.0334375,-0.028125,0.21875,-0.000871563
-1.122000e-03,0.0034375,0.00859375,0.11875,-0.00107156
-1.121000e-03,0.0234375,-0.0289063,0.117188,-0.00107156
-1.120000e-03,0.0190625,-0.0648438,0.221875,-0.00101625
-1.119000e-03,0.0184375,-0.028125,0.220313,-0.00109125
-1.118000e-03,0.0184375,-0.0414063,0.242188,-0.00113688
-1.117000e-03,0.0390625,-0.00234375,0.195312,-0.00113063
-1.116000e-03,0.0134375,-0.0671875,0.192187,-0.00079125
-1.115000e-03,0.0140625,-0.0414063,0.167188,-0.00087625
-1.114000e-03,0.003125,-0.0539062,0.217187,-0.000812188
-1.113000e-03,0.04375,-0.015625,0.24375,-0.000990625
-1.112000e-03,0.0034375,-0.0164063,0.11875,-0.00092125
-1.111000e-03,0.0084375,-0.00390625,0.217187,-0.00097125
-1.110000e-03,0.0334375,-0.040625,0.24375,-0.000946563
-1.109000e-03,0.00875,-0.0273438,0.217187,-0.00085625
-1.108000e-03,0.029375,0.021875,0.195312,-0.000875938
-1.107000e-03,0.0434375,-0.0273438,0.09375,-0.000855938
-1.106000e-03,0.01375,-0.0289063,0.267188,-0.00096125
-1.105000e-03,0.02375,0.021875,0.192187,-0.00109125
-1.104000e-03,-0.00125,-0.00390625,0.0921875,-0.00121625
-1.103000e-03,0.04375,0.0210937,0.167188,-0.00119156
-1.102000e-03,0.01875,-0.0289063,0.29375,-0.000900938
-1.101000e-03,0.023125,-0.0546875,0.192187,-0.00108656
-1.100000e-03,0.0334375,-0.0414063,0.16875,-0.00110156
-1.099000e-03,0.014375,-0.0382812,0.271875,-0.00104063
-1.098000e-03,0.0134375,-0.0164063,0.16875,-0.00136125
-1.097000e-03,0.0084375,-0.0664062,0.292188,-0.00111219
-1.096000e-03,0.0084375,-0.0164063,0.217187,-0.00111125
-1.095000e-03,0.00875,-0.003125,0.29375,-0.00106156
-1.094000e-03,0.01375,0.009375,0.11875,-0.00096125
-1.093000e-03,0.03375,0.0101562,0.120313,-0.00103094
-1.092000e-03,0.02875,-0.003125,0.292188,-0.000936875
-1.091000e-03,0.0240625,-0.065625,0.0921875,-0.00105125
-1.090000e-03,-0.00625,-0.0289063,0.19375,-0.00091125
